X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP
20.0,114.3,3.31,0.38,0.73,2.42,1.92,11.07,13.62,-40.0,-161.76,100.48
22.5,113.5,2.14,0.21,1.64,2.42,1.74,11.83,16.7,-4.0,-202.01,110.03
22.69,85.1,2.5,0.28,1.02,2.12,1.62,11.85,13.67,-38.0,-172.21,95.56
22.19,93.0,3.43,0.18,0.5,2.23,1.71,13.17,14.18,-33.0,-193.54,87.58
18.09,107.4,1.32,0.97,3.22,2.02,1.52,10.04,11.05,-45.0,-132.16,97.37
20.33,123.8,3.11,0.27,1.09,2.67,1.95,10.99,13.53,-41.0,-159.4,102.28
22.19,127.6,1.09,0.67,2.77,2.36,1.58,10.18,12.25,-44.0,-149.52,101.45
16.21,132.9,0.61,0.67,0.75,2.25,1.71,10.91,14.17,-40.0,-147.6,121.61
21.5,107.6,0.83,0.06,3.11,2.46,1.8,11.44,15.38,-29.0,-182.48,115.25
22.12,112.5,1.01,0.97,2.83,2.51,1.8,10.2,17.91,20.0,-159.7,138.78
23.19,110.9,3.39,0.19,0.5,2.42,1.8,10.46,17.16,9.0,-173.18,136.5
23.27,106.5,1.51,0.51,2.09,2.55,1.92,12.11,17.14,8.0,-202.25,101.56
20.39,131.3,3.38,0.61,0.82,2.84,1.93,14.36,15.74,-14.0,-235.72,76.2
21.57,119.3,0.5,0.84,3.7,2.35,1.77,11.42,15.93,-23.0,-184.35,124.38
16.61,118.7,3.33,0.7,1.54,2.04,1.54,10.74,14.32,-38.0,-152.78,118.18
18.61,139.2,2.69,0.5,1.83,2.57,1.86,11.37,17.42,9.0,-190.8,122.96
16.12,131.1,3.5,0.23,1.72,2.2,1.7,14.75,17.93,-1.0,-248.82,55.19
24.44,133.8,0.5,0.05,3.18,2.3,1.66,12.29,17.64,6.0,-202.41,100.38
24.9,71.9,2.23,0.63,0.75,2.06,1.56,12.39,17.22,12.0,-198.86,94.9
15.16,129.5,0.95,0.38,2.21,2.04,1.52,11.59,12.85,-41.0,-143.18,106.19
24.56,133.4,0.5,0.93,3.16,2.25,1.56,11.23,12.58,-42.0,-161.57,104.72
15.1,138.5,3.89,0.54,1.29,2.19,1.69,12.34,14.66,-32.0,-181.56,105.2
22.03,112.3,2.74,0.07,1.13,2.64,1.95,10.39,16.19,-24.0,-177.16,133.21
22.3,136.7,1.03,0.05,0.74,2.62,1.9,11.12,13.82,-41.0,-164.21,106.47
20.15,127.0,1.07,0.02,2.27,2.33,1.65,13.86,15.47,-21.0,-222.17,83.43
24.52,110.6,0.74,0.67,1.39,2.44,1.52,11.62,15.41,-29.0,-187.41,113.31
22.85,119.7,0.5,0.7,3.48,2.31,1.67,10.3,16.94,-0.0,-173.17,143.73
17.4,118.6,0.78,0.53,2.8,2.15,1.65,12.75,14.72,-30.0,-187.08,102.47
16.73,121.2,2.54,0.07,2.56,2.1,1.6,12.86,15.2,-30.0,-206.93,85.07
19.92,130.0,1.61,0.22,1.53,2.76,1.94,12.36,15.57,-21.0,-203.69,109.98
19.58,128.2,2.5,0.88,1.94,2.45,1.6,10.42,17.45,9.0,-172.2,140.86
23.18,96.7,0.7,0.2,2.85,2.32,1.7,10.96,13.4,-42.0,-158.95,102.38
23.94,108.0,1.53,0.26,0.51,2.7,1.92,11.12,13.83,-41.0,-164.54,106.73
24.84,91.5,1.02,0.83,2.23,2.35,1.53,12.58,16.08,-8.0,-207.8,99.41
24.84,91.5,1.02,0.83,1.36,2.35,1.53,12.64,17.18,10.0,-203.51,89.81
22.37,110.7,0.73,0.67,1.2,2.17,1.52,11.62,15.41,-29.0,-183.86,115.27
20.29,129.0,0.9,0.03,1.72,2.2,1.7,13.9,16.04,-13.0,-229.13,78.92
